"year";"stage";"home_team";"away_team";"home_score";"away_score";"winner";"home_team_stats_score";"home_team_ranking";"away_team_stats_score";"away_team_ranking";"home_team_perform_hist";"away_team_perform_hist";"home_team_wc_perform";"away_team_wc_perform"
2014;"Round of 16";"Germany";"Algeria";2;1;"home_team";82,2755731225297;1300;73,2777777777778;858;1;0;0,648648648648649;0,222222222222222
2014;"Round of 16";"Argentina";"Switzerland";1;0;"home_team";78,7708695652174;1175;75,7391304347826;1149;0,666666666666667;0;0,528571428571429;0,310344827586207
2014;"Round of 16";"Belgium";"USA";2;1;"home_team";79,0909090909091;1074;72,4782608695652;1035;1;0;0,277777777777778;0,241379310344828
2014;"Quarterfinals";"Brazil";"Colombia";2;1;"home_team";76,2052173913043;1242;72,0234782608696;1137;0,444444444444444;0;0,690721649484536;0,230769230769231
2014;"Quarterfinals";"France";"Germany";0;1;"away_team";78,5454545454545;913;82,2755731225297;1300;0,5;0,333333333333333;0,462962962962963;0,648648648648649
2014;"Quarterfinals";"Argentina";"Belgium";1;0;"home_team";78,7708695652174;1175;79,0909090909091;1074;1;0;0,528571428571429;0,277777777777778
2014;"Quarterfinals";"Netherlands";"Costa Rica";0;0;"draw";79,1869565217391;981;69,5882352941177;762;0;0;0,511627906976744;0,3
2014;"Semifinals";"Brazil";"Germany";1;7;"away_team";76,2052173913043;1242;82,2755731225297;1300;0,571428571428571;0,285714285714286;0,690721649484536;0,648648648648649
2014;"Semifinals";"Netherlands";"Argentina";0;0;"draw";79,1869565217391;981;78,7708695652174;1175;0,4;0;0,511627906976744;0,528571428571429
2014;"Third place";"Brazil";"Netherlands";0;3;"away_team";76,2052173913043;1242;79,1869565217391;981;0,142857142857143;0,285714285714286;0,690721649484536;0,511627906976744
2014;"Final";"Germany";"Argentina";1;0;"home_team";82,2755731225297;1300;78,7708695652174;1175;0,222222222222222;0,444444444444444;0,648648648648649;0,528571428571429
2018;"Group A";"Russia";"Saudi Arabia";5;0;"home_team";76,75;457;67,625;465;1;0;0,222222222222222;0,153846153846154
2018;"Group A";"Egypt";"Uruguay";0;1;"away_team";72,0803933747412;649;78,3913043478261;1018;0;1;0;0,392156862745098
2018;"Group B";"Morocco";"IR Iran";0;1;"away_team";76;686;70,8095238095238;708;0;0,5;0,153846153846154;0,0833333333333333
